Source,Target,Type
cad9e0b6-be6e-4cb0-a4bc-3f81708540f9,cad9e0b6-be6e-4cb0-a4bc-3f81708540f9,SubscriptionId
rg-poc-service-bus,demo-rabac-002,ResourceGroup
